Step,Value
5,0.8125
15,0.71875
16,0.71875
23,0.8125
28,0.84375
37,0.78125
39,0.6875
42,0.6666666865348816
49,0.8020833730697632
56,0.7708333730697632
66,0.6458333730697632
69,0.8541666865348816
72,0.6666666865348816
78,0.59375
81,0.7604166865348816
85,0.9166666865348816
89,0.6527777910232544
104,0.875
107,0.819444477558136
111,0.8541666865348816
121,0.8645833730697632
134,0.4583333432674408
136,0.78125
138,0.8229166865348816
142,0.7916666865348816
145,0.84375
146,0.9166666865348816
151,0.8229166865348816
156,0.75
160,0.8333333730697632
171,0.8020833730697632
175,0.7604166865348816
188,0.9027777910232544
202,0.8333333730697632
213,0.875
219,0.8854166865348816
221,0.8958333730697632
227,0.84375
239,0.8958333730697632
252,0.8854166865348816
257,0.90625
260,0.875
305,0.8888888955116272
324,0.9166666865348816
327,0.7916666865348816
333,0.875
338,0.8958333730697632
340,0.9375
341,0.8611111044883728
353,0.9375
376,0.8854166865348816
378,0.8958333730697632
405,0.8333333730697632
420,0.8854166865348816
424,0.9270833730697632
429,0.9270833730697632
436,0.9375
450,0.9375
456,0.8020833730697632
465,0.9166666865348816
485,0.819444477558136
496,0.96875
505,0.96875
513,0.9791666865348816
522,0.96875
526,0.8229166865348816
530,0.8888888955116272
538,0.9166666865348816
552,0.875
560,0.8854166865348816
564,0.9270833730697632
590,0.8958333730697632
596,0.9479166865348816
606,0.8333333730697632
608,0.9270833730697632
615,0.9166666865348816
633,0.9166666865348816
643,0.84375
650,0.9166666865348816
652,0.8645833730697632
653,0.8958333730697632
664,0.9166666865348816
666,0.8541666865348816
668,0.90625
691,0.9270833730697632
707,0.9583333730697632
709,0.9583333730697632
735,0.9479166865348816
740,0.90625
752,0.9583333730697632
757,0.90625
759,0.8854166865348816
765,0.8541666865348816
768,0.8854166865348816
773,0.8333333134651184
781,0.9166666865348816
785,0.90625
793,0.84375
811,0.90625
817,0.875
826,0.8645833730697632
829,0.875
839,0.9583333730697632
843,0.9895833730697632
847,0.9375
849,0.8958333730697632
851,0.8854166865348816
854,0.8472222089767456
867,0.9375
875,0.9166666865348816
877,0.9270833730697632
884,0.8645833730697632
900,0.8958333730697632
909,0.9270833730697632
914,0.9166666865348816
921,0.9479166865348816
926,0.875
957,0.8333333730697632
983,0.9166666865348816
999,0.9166666865348816
1011,0.9166666865348816
1026,0.90625
1034,1.0
1040,0.875
1057,0.96875
1062,0.9270833730697632
1069,0.9479166865348816
1080,0.8645833730697632
1087,0.8958333730697632
1092,0.8958333730697632
1101,0.90625
1110,0.9479166865348816
1129,0.8854166865348816
1143,0.8958333730697632
1155,0.875
1178,0.9722222089767456
1191,0.9583333730697632
1195,0.9375
1218,0.96875
1222,0.9166666865348816
1237,0.9583333730697632
1248,0.8229166865348816
1267,0.9583333730697632
1291,0.875
1292,0.9375
1299,0.9791666865348816
1303,0.90625
1327,0.8854166865348816
1335,0.9583333730697632
1338,0.9166666865348816
1353,0.9479166865348816
1357,0.8854166865348816
1371,0.8229166865348816
1391,0.8333333730697632
1400,0.875
1410,0.8333333730697632
1412,0.9305555820465088
1421,0.9583333134651184
1437,0.9375
1439,0.8472222089767456
1457,0.9166666865348816
1460,0.9583333730697632
1467,0.9479166865348816
1475,0.7916666865348816
1477,0.96875
1483,0.8541666865348816
1485,0.875
1499,0.90625
1503,0.9270833730697632
1514,1.0
1518,0.96875
1520,0.8888888955116272
1559,0.9375
1577,0.90625
1578,0.9583333730697632
1579,0.8854166865348816
1601,0.9166666865348816
1610,0.9583333134651184
1612,0.9479166865348816
1625,0.9375
1628,0.9305555820465088
1630,0.9270833730697632
1634,0.8645833730697632
1635,0.9270833730697632
1638,0.9479166865348816
1655,0.9722222089767456
1668,0.9270833730697632
1673,0.9305555820465088
1680,0.90625
1683,0.9166666865348816
1684,0.9270833730697632
1690,0.9479166865348816
1694,0.9791666865348816
1697,0.96875
1704,0.9791666865348816
1739,0.9583333730697632
1767,0.90625
1770,0.9375
1778,0.9270833730697632
1788,0.90625
1796,0.9791666865348816
1807,0.9583333730697632
1817,0.9166666865348816
1829,0.96875
1835,0.944444477558136
1844,0.9305555820465088
1859,0.8958333730697632
1864,0.9375
1867,0.9166666865348816
1879,0.9166666865348816
1882,0.9791666865348816
1901,0.9270833730697632
1905,0.9375
1907,0.944444477558136
1917,0.9583333730697632
1923,0.9166666865348816
1926,0.9375
1928,0.9479166865348816
1940,0.9270833730697632
1957,0.8854166865348816
1963,0.96875
1986,0.9479166865348816
1994,0.9166666865348816
1997,0.9861111044883728
1998,0.9583333730697632
2005,0.9583333730697632
2015,0.9722222089767456
2020,0.9166666865348816
2029,0.875
2031,0.9791666865348816
2036,0.9270833730697632
2039,0.9270833730697632
2047,0.9270833730697632
2060,0.944444477558136
2064,0.90625
2090,0.9270833730697632
2091,0.9583333730697632
2117,0.90625
2120,0.9375
2123,0.9861111044883728
2153,0.96875
2169,0.9583333730697632
2237,0.9895833730697632
2243,0.9583333730697632
2247,0.9375
2275,0.9479166865348816
2302,0.90625
2313,0.90625
2333,0.9166666865348816
2335,0.9375
2344,0.9375
2388,0.9270833730697632
2390,0.9791666865348816
2401,0.8854166865348816
2404,0.9583333730697632
2424,0.9791666865348816
2425,0.90625
2448,0.9166666865348816
2450,0.8854166865348816
2451,0.9375
2459,0.90625
2464,0.8958333730697632
2467,0.875
2475,0.90625
2478,0.9479166865348816
2488,0.9375
2492,0.9722222089767456
2496,0.9375
2502,0.9479166865348816
2512,0.84375
2514,0.9479166865348816
2516,0.9479166865348816
2529,0.9166666865348816
2533,0.9583333730697632
2547,0.9479166865348816
2570,0.9479166865348816
2576,0.9270833730697632
2580,0.9479166865348816
2585,0.9166666865348816
2588,0.96875
2592,0.9479166865348816
2601,0.9375
2603,0.90625
2613,0.90625
2625,0.9479166865348816
2628,0.90625
2630,0.9375
2695,0.8958333730697632
2700,0.9791666865348816
2703,0.9270833730697632
2717,0.9583333134651184
2750,0.9895833730697632
2756,0.9375
2761,0.9791666865348816
2763,0.9375
2769,0.9791666865348816
2800,0.9270833730697632
2801,0.96875
2812,0.96875
2813,0.9583333730697632
2833,0.9375
2847,0.9166666865348816
2848,0.9270833730697632
2852,0.9722222089767456
2859,0.9375
2860,0.96875
2862,0.9375
2873,0.875
2885,0.8958333730697632
2889,0.9583333730697632
2911,0.9270833730697632
2923,0.9583333730697632
2934,0.9583333730697632
2937,0.8958333730697632
2975,0.9479166865348816
2991,0.8229166865348816
2992,0.9791666865348816
2995,0.9166666865348816
3005,0.9166666865348816
3006,0.9270833730697632
3008,0.9791666865348816
3011,0.9791666865348816
3036,0.9583333730697632
3039,0.8854166865348816
3045,0.8854166865348816
3057,0.9583333730697632
3060,0.9375
3089,0.8958333730697632
3102,0.96875
3118,0.90625
3127,0.9270833730697632
3132,0.9270833730697632
3135,0.9479166865348816
3144,0.9375
3160,0.9270833730697632
3166,0.9791666865348816
3181,0.9166666865348816
3187,0.9791666865348816
3188,0.9270833730697632
3202,0.9583333730697632
3203,0.9027777910232544
3224,0.9479166865348816
3228,0.9791666865348816
3248,0.9583333134651184
3249,0.8229166865348816
3280,0.9375
3297,0.96875
3308,0.9166666865348816
3328,0.84375
3334,0.9375
3342,0.96875
3343,0.8541666865348816
3344,0.9375
3354,0.9895833730697632
3368,0.9375
3370,0.9791666865348816
3372,0.9270833730697632
3378,0.9583333730697632
3381,0.9270833730697632
3398,0.9583333730697632
3405,0.96875
3417,0.9583333730697632
3435,0.8854166865348816
3443,0.9479166865348816
3446,0.944444477558136
3459,0.9895833730697632
3462,0.9479166865348816
3463,0.9583333730697632
3469,0.9583333730697632
3477,0.8958333730697632
3484,0.9583333730697632
3490,0.9791666865348816
3509,0.9722222089767456
3514,0.9479166865348816
3531,0.9375
3533,0.9895833730697632
3539,0.9270833730697632
3540,0.9375
3543,0.9583333730697632
3545,0.9305555820465088
3546,0.9583333730697632
3562,0.9479166865348816
3575,0.9479166865348816
3586,0.9375
3597,0.90625
3600,0.9375
3603,0.9791666865348816
3613,0.9583333730697632
3632,0.9583333730697632
3633,0.96875
3639,0.9791666865348816
3641,0.9479166865348816
3645,0.90625
3647,1.0
3663,0.9166666865348816
3677,0.9166666865348816
3694,0.9270833730697632
3697,0.90625
3700,0.9479166865348816
3703,0.9895833730697632
3706,0.8958333730697632
3711,0.84375
3715,0.9270833730697632
3719,0.9479166865348816
3721,0.8645833730697632
3722,0.9791666865348816
3723,0.9375
3739,0.9479166865348816
3746,0.90625
3759,0.875
3779,0.9305555820465088
3783,0.90625
3789,0.9583333730697632
3794,0.9895833730697632
3809,0.9375
3812,0.9583333730697632
3817,0.9375
3852,0.9166666865348816
3856,1.0
3861,0.875
3872,0.8854166865348816
3921,0.90625
3923,0.9166666865348816
3929,0.96875
3930,0.9166666865348816
3931,0.9895833730697632
3932,0.9583333134651184
3933,0.8958333730697632
3935,0.9791666865348816
3945,0.9479166865348816
3952,0.9791666865348816
3962,0.9270833730697632
3968,0.9583333134651184
3980,0.9583333730697632
3989,0.9895833730697632
3997,0.9479166865348816
4030,0.96875
4049,0.9583333134651184
4052,0.96875
4058,0.944444477558136
4060,0.9479166865348816
4063,0.875
4079,0.96875
4086,0.9583333730697632
4094,0.9583333134651184
4113,0.9479166865348816
4137,0.9583333730697632
4148,0.944444477558136
4153,0.8645833730697632
4170,0.9583333730697632
4171,0.9583333730697632
4173,0.9375
4179,0.875
4186,0.9375
4187,0.8958333730697632
4205,0.9791666865348816
4206,0.9791666865348816
4215,0.90625
4222,0.9166666865348816
4232,0.8958333730697632
4236,0.9791666865348816
4241,0.90625
4249,0.9166666865348816
4252,0.90625
4257,1.0
4266,1.0
4282,0.90625
4285,0.9375
4314,0.9895833730697632
4316,0.9479166865348816
4317,0.9583333730697632
4327,0.90625
4362,0.8125
4363,0.8854166865348816
4365,0.9270833730697632
4366,0.96875
4367,0.9583333730697632
4376,0.9270833730697632
4377,0.9791666865348816
4392,0.9166666865348816
4395,0.9375
4403,0.9791666865348816
4404,0.9375
4435,0.8958333730697632
4437,0.8125
4452,0.9375
4463,0.944444477558136
4474,0.9791666865348816
4479,0.9895833730697632
4490,0.9583333134651184
4501,0.9166666865348816
4503,0.9375
4516,0.8958333730697632
4527,0.9479166865348816
4528,0.9270833730697632
4529,0.9166666865348816
4531,0.9479166865348816
4534,0.9166666865348816
4537,0.9375
4541,0.9791666865348816
4549,0.9375
4562,0.9305555820465088
4574,0.90625
4575,0.90625
4582,0.96875
4584,0.9791666865348816
4588,0.78125
4611,0.9166666865348816
4617,0.90625
4620,0.9583333730697632
4622,0.9375
4629,0.9791666865348816
4637,0.9375
4650,0.9479166865348816
4688,0.9305555820465088
4689,0.9270833730697632
4703,0.9166666865348816
4704,0.9583333730697632
4715,0.9861111044883728
4717,0.9166666865348816
4730,0.9479166865348816
4739,0.9895833730697632
4740,0.9583333730697632
4744,0.96875
4750,0.9270833730697632
4761,0.875
4768,0.9375
4769,0.9583333134651184
4771,0.8958333730697632
4772,0.9375
4775,0.9270833730697632
4778,0.9722222089767456
4783,0.9375
4811,0.9479166865348816
4824,0.8958333730697632
4832,0.8333333134651184
4851,0.9479166865348816
4854,0.96875
4887,0.9375
4888,0.9479166865348816
4892,0.9583333730697632
4894,0.96875
4904,0.9583333134651184
4910,0.9479166865348816
4911,0.96875
4916,0.8958333730697632
4921,0.9479166865348816
4926,0.9375
4940,0.944444477558136
4959,0.9375
4980,0.96875
4989,0.9791666865348816
4994,0.9583333134651184
5002,0.9375
5014,0.9583333730697632
5045,0.8645833730697632
5049,0.96875
5056,0.9166666865348816
5070,0.9375
5084,0.9166666865348816
5089,0.96875
5106,0.9479166865348816
5117,0.9375
5118,0.96875
5135,0.9895833730697632
5141,0.9375
5159,0.8854166865348816
5168,0.9166666865348816
5175,0.96875
5178,0.9895833730697632
5198,0.9375
5210,1.0
5228,0.944444477558136
5244,1.0
5246,0.9305555820465088
5270,0.9166666865348816
5273,0.9583333134651184
5275,0.8645833730697632
5280,0.9375
5297,0.9375
5308,0.9375
5312,0.9270833730697632
5319,0.96875
5325,0.9583333730697632
5338,0.9479166865348816
5349,0.9583333730697632
5352,0.9583333730697632
5361,0.9166666865348816
5375,0.9375
5377,0.9479166865348816
5391,0.9375
5412,0.9479166865348816
5418,0.9479166865348816
5438,0.9375
5440,0.9479166865348816
5443,0.9375
5450,0.9270833730697632
5455,0.9166666865348816
5462,0.9583333134651184
5486,0.9270833730697632
5494,0.8958333730697632
5508,0.9895833730697632
5520,0.9479166865348816
5522,0.9270833730697632
5524,0.8958333730697632
5535,0.9583333730697632
5539,0.9791666865348816
5549,0.96875
5563,0.90625
5565,0.9583333730697632
5571,0.9583333730697632
5601,0.96875
5611,0.9166666865348816
5631,0.96875
5632,0.96875
5641,0.9166666865348816
5646,0.8958333730697632
5650,0.9583333730697632
5655,0.9479166865348816
5661,0.9583333730697632
5664,0.8645833730697632
5666,0.90625
5680,0.9583333730697632
5681,0.8854166865348816
5694,0.90625
5705,0.9722222089767456
5714,0.9722222089767456
5740,0.9270833730697632
5754,1.0
5780,0.9479166865348816
5781,0.9375
5785,0.9583333730697632
5787,0.9479166865348816
5788,0.9375
5792,0.8333333730697632
5799,0.9583333730697632
5800,0.8958333730697632
5805,0.9479166865348816
5813,0.944444477558136
5817,0.9583333730697632
5820,0.9479166865348816
5830,0.96875
5831,0.9722222089767456
5833,0.9791666865348816
5849,0.9861111044883728
5854,0.9166666865348816
5860,0.9479166865348816
5866,0.9270833730697632
5870,0.90625
5880,0.9583333730697632
5882,0.9375
5887,0.8854166865348816
5892,0.9270833730697632
5900,0.96875
5908,0.90625
5912,0.9583333134651184
5925,0.90625
5927,0.9791666865348816
5930,0.9305555820465088
5933,0.9479166865348816
5935,0.9895833730697632
5937,0.8645833730697632
5949,0.96875
5964,0.9375
5971,0.8958333730697632
5973,0.9166666865348816
5980,0.9791666865348816
5990,0.9791666865348816
5991,0.9479166865348816
5995,0.9479166865348816
6003,0.8645833730697632
6006,0.9270833730697632
6018,0.9791666865348816
6046,0.875
6053,0.96875
6056,0.944444477558136
6058,0.90625
6060,0.9270833730697632
6062,0.9375
6082,0.9375
6090,0.9479166865348816
6093,0.9375
6098,0.9479166865348816
6104,0.9270833730697632
6121,0.9166666865348816
6122,0.9270833730697632
6136,0.9583333730697632
6138,0.9791666865348816
6141,0.8854166865348816
6151,0.9479166865348816
6163,0.9375
6197,0.9166666865348816
6209,0.9166666865348816
6213,0.9583333730697632
6215,0.8541666865348816
6228,0.9375
6240,0.9375
6250,0.9270833730697632
6258,0.9270833730697632
6269,0.9166666865348816
6270,0.9270833730697632
6294,0.9583333730697632
6301,0.9270833730697632
6307,0.90625
6308,0.944444477558136
6315,0.96875
6320,0.9895833730697632
6332,0.9479166865348816
6333,0.875
6334,0.9479166865348816
6353,0.944444477558136
6355,0.8541666865348816
6356,0.9375
6376,0.9583333730697632
6379,0.9375
6394,0.9583333730697632
6397,0.9270833730697632
6408,0.9583333730697632
6409,0.9166666865348816
6410,0.9375
6423,0.9375
6431,0.90625
6440,0.9166666865348816
6455,0.9791666865348816
6468,0.9166666865348816
6476,0.9791666865348816
6488,0.9166666865348816
6502,0.9791666865348816
6504,0.9479166865348816
6511,0.8645833730697632
6512,0.9583333730697632
6519,0.9270833730697632
6522,0.9479166865348816
6535,0.9479166865348816
6537,0.9583333730697632
6540,0.9375
6548,0.90625
6557,0.9479166865348816
6580,0.96875
6581,0.96875
6587,0.875
6590,0.9791666865348816
6596,0.9166666865348816
6600,0.9583333730697632
6603,0.9270833730697632
6606,1.0
6609,0.9166666865348816
6616,0.9791666865348816
6627,0.9479166865348816
6638,0.9479166865348816
6672,0.96875
6673,0.9166666865348816
6709,0.9895833730697632
6712,0.96875
6714,0.8854166865348816
6716,0.9583333730697632
6717,0.9583333730697632
6721,0.9895833730697632
6722,0.9722222089767456
6731,0.9583333134651184
6737,0.9895833730697632
6788,0.96875
6800,1.0
6813,0.90625
6815,0.9375
6829,0.9479166865348816
6844,0.96875
6845,0.8958333730697632
6848,0.944444477558136
6852,0.96875
6859,0.9791666865348816
6875,0.9583333134651184
6896,0.9583333730697632
